,coin,acc_trade_vol,traded_time,traded_price,ask_bid,high,dev,24h_vol
211,KRW-MBL,422687704.51470053,1714500409.6844668,5.9,BID,6.365,3.122900007603144e-07,2881936654.420001
212,KRW-WAVES,18968959.93528598,1714500409.805443,3251.0,ASK,3763.0,-1.0472491772882191e-08,88557014176.18356
213,KRW-WAVES,18969671.48767689,1714500409.8099341,3251.0,ASK,3763.0,-8.034963661843107e-09,88557014176.18356
214,KRW-NEAR,7506954.23292564,1714500409.924787,8622.0,ASK,9898.0,-6.345235706463775e-10,79400607040.25192
215,KRW-STX,22143519.04226721,1714500409.983962,3237.0,ASK,3739.0,-1.776352865886559e-09,85005633114.81331
216,KRW-BCH,33957.08976257,1714500409.9887621,616000.0,BID,673200.0,3.246567348651311e-11,24386055639.140945
217,KRW-BTC,5750.51695678,1714500410.195922,86874000.0,BID,92540000.0,3.984292723918563e-16,577517808937.0522
218,KRW-NEO,3884686.26102517,1714500410.24629,24260.0,ASK,27860.0,-1.4328660795992254e-10,120112599179.49193
219,KRW-NEO,3884687.26102517,1714500410.2520618,24260.0,ASK,27860.0,-8.325521276128878e-12,120112599179.49193
220,KRW-GLM,135689245.0539548,1714500410.2643409,700.0,BID,785.3,7.896177267635657e-09,121637944300.19965
221,KRW-GLM,135689245.05395523,1714500410.267157,700.0,BID,785.3,3.430118092081646e-18,121637944300.19965
222,KRW-POWR,32523437.43927597,1714500410.384725,402.0,ASK,444.3,-1.166119415414512e-07,15320144849.604387
223,KRW-POWR,32525223.95111158,1714500410.3892171,401.9,ASK,444.3,-1.1661194154169435e-07,15320144849.604387
224,KRW-ETC,1440745.4074342,1714500410.753452,36320.0,BID,40110.0,4.51058433580047e-11,61040959551.7981
225,KRW-SOL,524959.98174044,1714500410.81476,179600.0,ASK,199900.0,-1.8303461708590793e-11,111122215150.38562
226,KRW-SOL,524966.64362382,1714500410.827931,179600.0,ASK,199900.0,-5.99509591400374e-11,111122215150.38562
227,KRW-SOL,524975.87297311,1714500410.895211,179600.0,BID,199900.0,8.305584331102421e-11,111122215150.38562
228,KRW-SOL,524979.06723449,1714500410.8989089,179600.0,BID,199900.0,2.8745479701630508e-11,111122215150.38562
229,KRW-SOL,524993.20010677,1714500410.913271,179600.0,BID,199900.0,1.271831403014793e-10,111122215150.38562
230,KRW-BTC,5750.51753232,1714500410.9742029,86874000.0,BID,92540000.0,9.96575327835782e-16,577517808937.0522
231,KRW-BCH,33957.46276257,1714500411.063754,615700.0,ASK,673200.0,-1.5295626546546022e-11,24386055639.140945
232,KRW-BCH,33957.68836257,1714500411.153754,615700.0,BID,673200.0,9.251188602876768e-12,24386055639.140945
233,KRW-GLM,135689527.9110981,1714500411.7764668,700.0,BID,785.3,2.325402196600535e-09,121637944300.19965
234,KRW-LSK,5730237.47390409,1714500412.390186,2280.0,BID,2427.0,5.862711713993184e-09,14954762367.163841
235,KRW-BCH,33957.6883654,1714500412.398685,615700.0,BID,673200.0,1.1604985684562988e-16,24386055639.140945
236,KRW-IOTA,12766110.08746194,1714500412.8007622,300.5,BID,326.8,2.0134201818678965e-07,4260756029.4424586
237,KRW-NEO,3884724.32687378,1714500412.9579918,24260.0,BID,27860.0,3.0859251122335663e-10,120112599179.49193
238,KRW-STX,22143553.74003614,1714500413.015072,3237.0,ASK,3739.0,-4.081819952270816e-10,85005633114.81331
239,KRW-NEO,3884728.95658021,1714500413.020881,24260.0,BID,27860.0,3.854471938339115e-11,120112599179.49193
240,KRW-BTC,5750.51760181,1714500413.145422,86854000.0,ASK,92540000.0,-1.2032529371696138e-16,577517808937.0522
241,KRW-ETH,31125.27299469,1714500413.234932,4290000.0,BID,4653000.0,2.978014459035331e-13,156480099887.04108
242,KRW-BTC,5750.52822541,1714500413.566019,86874000.0,BID,92540000.0,1.8395276882799034e-14,577517808937.0522
243,KRW-BTC,5750.52827852,1714500413.5693388,86874000.0,BID,92540000.0,9.196253115804865e-17,577517808937.0522
244,KRW-VET,242436369.69064152,1714500413.7949598,51.02,ASK,57.9,-2.757820043446822e-06,15430733183.997551
245,KRW-VET,242436745.65809888,1714500413.804291,51.01,ASK,57.9,-2.436484727400808e-08,15430733183.997551
246,KRW-VET,242437331.0617039,1714500413.809119,51.04,ASK,57.9,-3.7937510682977715e-08,15430733183.997551
247,KRW-VET,242444824.25572816,1714500413.81264,51.01,ASK,57.9,-4.856019435314735e-07,15430733183.997551
